Date,Open,High,Low,Close,Volume,adj_close,shares
2009-06-29,47.95,48.19,46.86,48.19,353800,47.14,vw
2009-06-30,48.52,50.55,48.5,49.76,543500,48.68,vw
2009-07-01,50.88,51.5,48.37,49.14,269300,48.07,vw
2009-07-02,49.99,50.7,49.31,50.04,291500,48.95,vw
2009-07-03,50.5,50.93,49.42,49.7,135600,48.62,vw
2009-07-06,50.2,50.2,49.1,50.09,86800,49,vw
2009-07-07,50,50,48.8,49.3,155900,48.23,vw
2009-07-08,49.4,49.79,47.68,49.1,302100,48.03,vw
2009-07-09,49.1,51,49.1,51,238200,49.89,vw
2009-07-10,50.86,51.7,50.3,50.8,224500,49.69,vw
2009-07-13,51.48,53.47,51.22,53.2,265000,52.04,vw
2009-07-14,53.55,56.68,53.55,55.89,724200,54.67,vw
2009-07-15,56.4,58.09,55.52,58.02,462700,56.76,vw
2009-07-16,58.05,58.48,56.2,57.99,580300,56.73,vw
2009-07-17,57.85,57.85,55.99,56.35,351700,55.12,vw
2009-07-20,55.97,55.97,51.9,52.68,677300,51.53,vw
2009-07-21,53.25,54.44,52.69,53.7,386900,52.53,vw
2009-07-22,53.9,53.97,52.3,53.65,286700,52.48,vw
2009-07-23,54.35,57.32,52.8,53.5,1274900,52.33,vw
2009-07-24,54,56.98,53.45,56.95,917300,55.71,vw
2009-07-27,56.5,56.5,53.42,56.4,589400,55.17,vw
2009-07-28,55.9,56.8,53.25,55,666100,53.8,vw
2009-07-29,54.68,55.75,54.1,54.7,228900,53.51,vw
2009-07-30,54.81,55,52.21,54.63,473000,53.44,vw
2009-07-31,54.79,55.22,54.17,54.99,262800,53.79,vw
2009-08-03,54.89,56.95,54.72,56.63,303600,55.4,vw
2009-08-04,56.6,59.8,56.05,56.63,366900,55.4,vw
2009-08-05,56.99,58.94,56.66,57.01,349700,55.77,vw
2009-08-06,58.15,58.69,56.8,58.43,228000,57.16,vw
2009-08-07,58.6,58.76,57.01,58.45,219100,57.18,vw
2009-08-10,58.25,58.77,57.05,57.65,198100,56.39,vw
2009-08-11,57.33,57.72,55.34,56.68,254400,55.44,vw
2009-08-12,56.67,58.5,56.01,58.3,205100,57.03,vw
2009-08-13,57.8,60.86,57.72,60.14,276400,58.83,vw
2009-08-14,59.75,59.75,55.1,56.64,1523700,55.41,vw
2009-08-17,56.56,58.47,54.75,57.24,622700,55.99,vw
2009-08-18,57.4,60,57.2,59.5,469400,58.2,vw
2009-08-19,59.99,69.01,59.31,68.42,1855600,66.93,vw
2009-08-20,68.96,69,62.86,63,1520500,61.63,vw
2009-08-21,63.35,64.39,62.7,62.7,527400,61.33,vw
2009-08-24,63.78,63.93,62.15,62.4,330200,61.04,vw
2009-08-25,62.6,64.14,61.6,63,600400,61.63,vw
2009-08-26,63.8,63.83,61.88,62.02,302900,60.67,vw
2009-08-27,61.05,63.74,61.05,63,278800,61.63,vw
2009-08-28,63.1,66.9,63.1,64.56,554200,63.15,vw
2009-08-31,65.01,67,64.23,65.47,319500,64.04,vw
2009-09-01,66.39,67.5,64.42,65.59,661300,64.16,vw
2009-09-02,65.39,65.97,64.22,65.56,350100,64.13,vw
2009-09-03,65.85,66.98,65.5,66.55,233700,65.1,vw
2009-09-04,66.29,66.55,64.5,65.95,346900,64.51,vw
2009-09-07,66.03,66.58,65.25,65.75,205600,64.32,vw
2009-09-08,65.6,66.25,64.46,64.88,178000,63.47,vw
2009-09-09,64.52,65.5,64.24,64.75,202500,63.34,vw
2009-09-10,64.88,65.7,63.1,64,266200,62.61,vw
2009-09-11,64,67.34,63.88,67,441400,65.54,vw
2009-09-14,68,70,67.14,68.96,653900,67.46,vw
2009-09-15,70.5,72.5,69.75,71.49,572300,69.93,vw
2009-09-16,72.49,76.77,72.05,75.25,922300,73.61,vw
2009-09-17,76.4,76.5,73.53,74.46,362400,72.84,vw
2009-09-18,74,76.4,71.09,72.33,600100,70.75,vw
2009-09-21,72.94,73.38,68.3,69.25,485000,67.74,vw
2009-09-22,69.99,70.89,68.2,68.9,290000,67.4,vw
2009-09-23,69.5,71.44,69,70.5,465700,68.96,vw
2009-09-24,70.95,73.69,69.89,72.29,387600,70.71,vw
2009-09-25,72.6,76,72.2,75.3,480100,73.66,vw
2009-09-28,75.1,76.3,73.7,75.3,313800,73.66,vw
2009-09-29,76,78.55,74.9,78.05,571700,76.35,vw
2009-09-30,78.4,81.89,78.26,79.59,629200,77.86,vw
2009-10-01,79.81,80.85,76.01,76.01,323400,74.35,vw
2009-10-02,75.21,76.48,73.04,74.6,519300,72.97,vw
2009-10-05,74.05,76.25,74.04,75.96,255100,74.3,vw
2009-10-06,76.5,80.17,76.4,79.25,530400,77.52,vw
2009-10-07,80,80.8,78.45,80.63,302200,78.87,vw
2009-10-08,80.52,82.9,78.5,81.72,584500,79.94,vw
2009-10-09,81.48,82.77,79.69,79.69,449500,77.95,vw
2009-10-12,79.9,81.41,76.89,77.25,423500,75.57,vw
2009-10-13,78.4,79.72,76.97,77.86,418000,76.16,vw
2009-10-14,78.2,79.22,76.25,76.57,610000,74.9,vw
2009-10-15,76.9,78.6,76.6,77.87,348600,76.17,vw
2009-10-16,76.3,76.3,72.6,73,1099000,71.41,vw
2009-10-19,73.79,75.65,72.7,74,507500,72.39,vw
2009-10-20,73.7,74.71,71.01,71.31,740100,69.76,vw
2009-10-21,71.9,73.84,71.28,72.73,328200,71.15,vw
2009-10-22,71.7,73.61,71.37,73.05,213000,71.46,vw
2009-10-23,74.17,74.38,73.15,73.34,160900,71.74,vw
2009-10-26,74.26,74.48,71.58,71.77,211100,70.21,vw
2009-10-27,71.52,72.26,68.1,68.74,501500,67.24,vw
2009-10-28,69.4,69.5,64.3,65.34,783600,63.92,vw
2009-10-29,64.97,70.13,63.5,70,856500,68.47,vw
2009-10-30,70.4,70.4,66.51,67.67,515800,66.2,vw
2009-11-02,66.16,68,65.5,67,330000,65.54,vw
2009-11-03,66.4,67.5,64.59,66.3,389500,64.86,vw
2009-11-04,68.05,68.7,66.31,67.31,356400,65.84,vw
2009-11-05,66.87,68.57,65.5,68.1,394700,66.62,vw
2009-11-06,67.89,70.4,67.7,69.67,443800,68.15,vw
2009-11-09,70.02,71.88,70.01,71.5,501100,69.94,vw
2009-11-10,64.6,65.25,59.51,60.22,11238000,58.91,vw
2009-11-11,60.4,62.34,59.77,60.67,3683900,59.35,vw
2009-11-12,60.98,61.45,60.03,60.03,1202900,58.72,vw
2009-11-13,60.55,61.2,60.08,60.25,1342600,58.94,vw
2009-11-16,61.1,62.7,60.7,62.45,1053800,61.09,vw
2009-11-17,62.8,62.99,61.61,61.85,734300,60.5,vw
2009-11-18,62.17,62.62,61.53,61.62,718200,60.28,vw
2009-11-19,61.77,61.79,60.68,61.2,619000,59.87,vw
2009-11-20,61.38,61.38,57.28,57.51,2029600,56.26,vw
2009-11-23,58.2,59.8,58,59.22,1204000,57.93,vw
2009-11-24,59.29,60.2,56.86,57.61,1823300,56.35,vw
2009-11-25,58.39,59.26,56.65,57.2,1141800,55.95,vw
2009-11-26,57,57,52.9,53.54,1934300,52.37,vw
2009-11-27,52.49,54.94,51.54,54.5,2121000,53.31,vw
2009-11-30,55.85,57.2,54.96,56.5,1485200,55.27,vw
2009-12-01,58.25,60.01,58.2,59.5,2001800,58.2,vw
2009-12-02,60.11,61.63,59.26,61.63,1276800,60.29,vw
2009-12-03,62,63.62,61.63,62.7,1592500,61.33,vw
2009-12-04,61.9,63.79,60.3,63.5,1060300,62.12,vw
2009-12-07,63.75,64.97,63.32,64.53,811200,63.12,vw
2009-12-08,64.99,65.14,63.35,64.1,1364000,62.7,vw
2009-12-09,64.26,65.19,63.31,63.59,1138700,62.2,vw
2009-12-10,64,65.37,63.3,65,692500,63.58,vw
2009-12-11,65.24,67.2,65.09,66.63,1465600,65.18,vw
2009-12-14,67.7,68.43,67.16,67.88,1046400,66.4,vw
2009-12-15,68,68.43,67.62,68.2,706100,66.71,vw
2009-12-16,67.92,68.48,67.7,68.48,850800,66.99,vw
